Name,Link,Area,State Served,Other Limitation,Overview,Grant Guidelines,Foundation Information
,,,,,"MissionTo provide assistance to less fortunate hospital patients desiring a private hospital room, through grant-making to qualifying hospitals in Philadelphia, Pennsylvania.Annual application deadlinesSeptember 1Program areasHealthHuman servicesStates servedPennsylvaniaGeographic limitationsPhiladelphia, PA and the surrounding vicinityTrusteesWells Fargo Bank, N.A.","The Lillie I. W. Baker Trust provides grants to hospitals to help subsidize the cost of private hospital rooms for needy patients in Philadelphia, Pennsylvania and its vicinity.RequirementsTo be eligible, organizations must qualify as exempt organizations under Section 501(c)(3) of the Internal Revenue Code.Average givingAverage grant size: $45,000Average number of grants per year: 7Annual application period and deadlinesApplications are accepted year-round. Applications must be submitted by September 1 to be reviewed at the annual grant meeting that occurs in October.CommunicationsApplicants will receive an automated email confirming their submission.Required agreements and reportsExcept as otherwise specified when a grant is awarded, a progress report must be submitted within 6 months after receiving funds.","About the Foundation            The Lillie I. W. Baker Trust was created under the Last Will and Testament of Ms. Baker. The trust was established in memory of Dr. George Fales to provide grants to hospitals, in Philadelphia and its vicinity, to help subsidize the cost of private hospital rooms for those patients who otherwise would not be able to afford these kinds of medical services."
,,,,,"MissionTo promote the welfare and needs of the financially-at-risk and elderly residents, with particular consideration being given to their nutritional, legal, and medical needs and the welfare of dogs to include housing, nutrition, general care, and placement within suitable homes.Annual application deadlinesJuly 31Program areasEnvironment, animalsHealthHuman servicesStates servedCaliforniaGeographic limitationsSanta Barbara County, CaliforniaTypes of supportGeneral Operating, Capital Needs, and Special ProjectsPopulation servedFinancially at-risk and elderly residents and dogs.TrusteesWells Fargo Bank, N.A.","Dr. Hildegard H. Balin Charitable Trust awards grants to serve the needs of the financially-at-risk and elderly residents of Santa Barbara County and to promote the welfare of dogs in Santa Barbara County, California.Grant recipients must be involved in one of the following:Promoting the welfare and needs of the financially-at-risk and elderly residents, with particular consideration being given to their nutritional, legal, and medical needs.Promoting the welfare of dogs to include housing, nutrition, general care, and placement within appropriate homes.RequirementsOrganizations must be located within Santa Barbara County.To be eligible, organizations must qualify as exempt organizations under Section 501(c)(3) of the Internal Revenue Code.LimitationsThe foundation does not fund requests for the Hospice of Santa Barbara or any of its related organizations.No personal appearances before the Foundation’s advisory committee are allowed.Annual application period and deadlinesApplications must be submitted by July 31 to be reviewed at the annual grant meeting that occurs in early October.CommunicationsApplicants will receive an automated email confirming their submission. Grant decisions are generally communicated by December for applications received by the deadline.Required agreements and reportsPeriodic progress reports and final reports may be required for funded projects.","About the Foundation            Dr. Hildegard H. Balin was born November 7, 1900 in Koenigsberg, Germany.  She practiced as a medical doctor in Germany until World War II. Her husband was a member of the underground and did not survive the war. They had no children.Following the war, Dr. Balin moved to Argentina, obtained her medical license, and practiced there for a time.Dr. Balin came to Santa Barbara in the early 1950’s, and was employed as a Registered Nurse at St. Francis Hospital from approximately 1962 until 1966.Dr. Balin’s devotion to her dog and constant companion, Tulli, inspired her interest in the welfare and care of dogs.  Her experience as a medical doctor, as well as her professional life experiences, led to her interest in the welfare of the elderly, particularly those who are alone and further handicapped by poverty.She utilized her substantial business acumen, strong and unique personality, and untiring energy in building an estate with the intention of contributing that estate back to the county in which she lived.Dr. Balin died in Santa Barbara, California on January 14, 1996 at the age of 95.Since its inception in 1996, the foundation has awarded more than $3 million to eligible non-profit organizations in Santa Barbara County, California."
,,,,,"MissionTo primarily support organizations that repair or care for those who have lost limbs in military duty for the United States, and secondarily to support organizations that actively improve Southern California.Annual application deadlinesJune 1Program areasHealthHuman ServicesStates servedAllGeographic LimitationsThere are no geographic limitations; however, for organizations applying for a grant for the purpose of actively improving the betterment of society in the Southern California region, the trust has a practice of primarily supporting 501(c)(3) organizations located in California.TrusteesWells Fargo Bank, N.A.","The Robert L. and Margaret K. Balmes Family Trust primarily supports organizations that repair or care for those who have lost limbs in military duty for the United States, and secondarily supports organizations that actively improve Southern California.RequirementsTo be eligible, organizations must qualify as exempt organizations under Section 501(c)(3) of the Internal Revenue Code.Annual application period and deadlinesApplications are accepted year-round. Applications must be submitted by June 1 to be reviewed at the annual grant meeting that occurs in July.CommunicationsApplicants will receive an email confirming their submission. Grant decisions are generally communicated by July for applications received by the deadline.Required agreements and reportsPeriodic progress reports and final reports may be required for funded projects.","About the Foundation            The Robert L. and Margaret K. Balmes Family Trust was established under the Trust Agreement dated July 22, 2004. Mr. Balmes was born May 1, 1929 in Chicago, Illinois.  He actively served in the Navy reserves during the Korean war.  Mr. Balmes was one of the pioneers in the business of Homeowner Association Management and created a successful company with this fledgling idea, employing many people over a 45 year period.  Mr. Balmes passed away on November 4, 2015. He was a resident of Anaheim Hills, California."
,,,,,"MissionTo promote the prevention of cruelty to animals and for the study, care, protection, and preservation of animals, both domestic and wild, and their environment.Annual application deadlinesMay 1Program areasEducationEnvironment, animalsStates servedNew YorkTexasGeographic limitationsGrants for educational purposes are limited to the state of Texas.TrusteesWells Fargo Bank, N.A.","The Emma Barnsley Foundation awards grants exclusively for charitable, scientific, and educational purposes as follows:To aid and assist in the prevention of cruelty to animals, both domestic and wild;To aid and assist in the care, protection and preservation of animals, both domestic and wild, and the environment in which such wild animals may live;To provide scholarships for deserving young men and women to assist them in the study of veterinary medicine at any institution of higher learning in the state of Texas;To assist institutions of higher learning in the state of Texas in the operation and maintenance of courses of study in veterinary medicine and in the study of animals and animal life;To assist in research projects involving ecological, environmental, and wildlife studies, provided no funds shall be given to any organization utilizing animals for research or experimental purposes if such animals are in any way harmed, mutilated, intentionally inflicted with disease or any substance causing disease, or if such animals are killed in the course of such research.RequirementsTo be eligible, organizations must qualify as exempt organizations under Section 501(c)(3) of the Internal Revenue Code.LimitationsThe foundation normally does not fund requests for:General operating supportEndowmentsIndividualsPolitical activitiesLoansFundraising events including dinners, benefits, and athletic events.Grantmaking prioritiesPreference may be given to organizations that operate in the Crane/Midland/Odessa, Texas area or the Manhattan, New York area.Annual application period and deadlinesApplications are accepted year-round. Applications must be submitted by May 1 to be reviewed at the annual grant meeting that occurs in June.CommunicationsApplicants will receive an automated email confirming their submission. Grant decisions are generally communicated by July for applications received by the deadline.Required agreements and reportsA progress report must be submitted within 6 months after receiving funds.","About the Foundation            Emma Elizabeth Barnsley was born on December 10, 1926 in Crane County, Texas and grew up in the areas of Crane, Midland, and Odessa, Texas.  She moved to New York City as a young woman where she spent most of her adult life.  Ms. Barnsley had a deep love for animals of all kinds. It is because of this passion she established the Emma Barnsley Foundation for the purposes of the prevention of cruelty to animals and the study, care, protection, and preservation of animals, both domestic and wild, and their environment.  Ms. Barnsley passed away on August 1, 2007 in New York."
,,,,,"MissionTo provide grants to qualified 501(c)(3) organizations dedicated to medical research.Annual application deadlinesMay 30Program areasHealthStates servedPennsylvaniaProgram limitationsMedical researchGeographic limitationsThere are no geographic limitations; however, the trust has a practice of primarily supporting organizations located in Lancaster, Pennsylvania.TrusteesWells Fargo Bank, N.A., serves as co-trustee with an individual trustee.","The H. G. Barsumian, M.D. Memorial Fund awards grants to organizations that conduct medical research.RequirementsTo be eligible, organizations must qualify as exempt organizations under Section 501(c)(3) of the Internal Revenue Code.Average givingAverage grant size: $25,000Average number of grants per year: 5Annual application period and deadlinesApplications are accepted year-round. Applications must be submitted by May 30 to be reviewed at the annual grant meeting that occurs in July.CommunicationsApplicants will receive an automated email confirming their submission.Required agreements and reportsExcept as otherwise specified when a grant is awarded, a progress report must be submitted within 6 months after receiving funds.","About the Foundation            As members of the Lancaster, Pennsylvania community, Jane Barsumian and Mary Lyons fulfilled their desires to provide support to the medical community by creating funds that would make grants to organizations conducting medical research.  In 1998, the trust established by Ms. Lyons was combined with the trust established by Ms. Barsumian."
,,,,,"Mission            To provide grants to qualified 501(c)(3) organizations in Berks County, Pennsylvania whose programs help to meet the basic needs of food, shelter, health, and education.             Annual application deadlines            April 1 and October 1            Program areas            EducationHealthHuman services            States served            Pennsylvania            Geographic limitations            There are no geographic restrictions; however, the trust has a practice of primarily supporting organizations located in Berks County, Pennsylvania.            Trustees            Wells Fargo Bank, N.A.","The Bartlett Foundation awards grants to organizations in Berks County, Pennsylvania whose programs help to meet the basic needs of food, shelter, health, and education.            Requirements                          To be eligible, organizations must qualify as exempt organizations under Section 501(c)(3) of the Internal Revenue Code.                        Grantmaking priorities            Priority is given to qualified organizations in Berks County, Pennsylvania who support programs that improve the quality of life for individuals.            Limitations            The foundation does not make grants for capital building projects or for general operating support.            Average giving            Average number of grants per year: 20            Annual application period and deadlines            Applications are accepted year-round. Applications must be submitted by April 1 and/or October 1 to be reviewed at the semi-annual grant meetings that occur in June and November.            Communications            Applicants will receive an automated email confirming their submission.            Required agreements and reports            Except as otherwise specified when a grant is awarded, a progress report must be submitted within 6 months after receiving funds.","About the Foundation            The Bartlett Foundation was created in 1972 under a trust agreement by Harland B. Barlett and Viola D. Bartlett. They resided in Reading, Pennsylvania and created the foundation to support various charitable organizations."
,,,,,"Mission            Supports  scholarship programs at colleges and universities in Florida for  worthy students in need of financial assistance.            Annual application deadlines            August 1            Program areas            Education            Program limitations            Grants are made only to qualifying colleges and universities in the State of Florida for scholarships.            States served            Florida            Geographic limitations            Limited to colleges and/or universities in the State of Florida.            Trustees            Wells Fargo Bank, N.A.","Grants are awarded to colleges and universities in the State of Florida for the purpose of providing annual scholarships for students deemed worthy to receive a higher education and who without such financial assistance would be unable to pursue studies in a college or university. Each scholarship shall be known and designated by the college or university as “The Will Paul Bateman Scholarship.”RequirementsTo be eligible, organizations must qualify as exempt organizations under Section 501(c)(3) of the Internal Revenue Code.Average givingAverage grant size: $5,000 to $10,000Average number of grants per year: 3-5Average total giving per year: $26,000Annual application period and deadlinesApplications are accepted year-round.  Applications must be submitted by August 1 to be reviewed at the annual grant meeting that occurs in August.CommunicationsApplicants will receive an automated email confirming their submission.Required agreements and reportsExcept as otherwise specified when a grant is awarded, a progress report must be submitted within 6 months after receiving the funds.","About the Foundation            The Will Paul Bateman Scholarship was created under the Last Will and Testament of Will Paul Batemen dated June 18, 1957. Mr. Bateman was a resident of Dade County, FL.  It was his desire to provide financial assistance to worthy students who would otherwise be unable to pursue studies at a college or university."
,,,,,"MissionTo support charitable purposes of education, conservation, agricultural programs, medical care, public health, housing and social services for the residents of Madison, CT.Annual application deadlinesMarch 15Program areasEducationEnvironment, animalsHealthHuman servicesPublic/society benefitStates servedConnecticutProgram limitationsFor organizations that provide education, conservation and agricultural programs, medical care, public health, housing, and social services for the residents of the Town of Madison, CT.Geographic limitationsResidents of the Town of Madison, CT.TrusteesWells Fargo Bank, N.A.","RequirementsTo be eligible, organizations must qualify as exempt organizations under Section 501(c)(3) of the Internal Revenue Code.Annual application period and deadlinesApplications are accepted year-round.  Applications must be submitted by March 15 to be reviewed at the annual grant meeting.CommunicationsApplicants will receive an email confirming their submission. Grant decisions are generally communicated by September for applications received by the deadline.Required agreements and reportsPeriodic progress reports and final reports may be required for funded projects.","About the Foundation            The Erwin C. Bauer Charitable Trust was established under a trust agreement by Erwin C. Bauer on February 23, 1990. Mr. Bauer, a longtime resident of the Town of Madison in the County of New Haven, Connecticut, was a farmer on his family’s homestead farm.He was born in New York City on January 28, 1904 to parents who immigrated from Germany. The family moved to Madison where they acquired Bauer Farm in 1909 and made their living as farmers.Mr. Bauer was a very quiet, unassuming man, who attended Madison elementary schools, never married and spent his entire life from age 2 sharing the Copse Road homestead and working the farm with his older brother Anthony. The two brothers were very frugal, and paid cash for everything. Over the years they had developed an interest in the stock market that proved to be a mixture of Yankee frugality and Wall Street savvy.Mr. Erwin’s generosity to the Town of Madison began in 1990 when he donated ""Bauer Farm"" to the Town of Madison in memory of his parents and his older brother Anthony who had died seven years earlier."
,,,,,"Mission            To support agencies, institutions, and services that benefit blind or handicapped persons.            Annual application deadlines            May 30            Program areas            EducationHealthHuman services            Program limitations            Organizations that benefit  blind or handicapped persons.            States served            Connecticut            Geographic limitations            There are no geographic limitations; however, the trust has a practice of primarily supporting organizations located in Connecticut.            Trustees            Wells Fargo Bank, N.A.","The Anthony F. Bauer Trust Fund is dedicated to making grants to qualified charitable organizations benefiting blind or handicapped persons.RequirementsTo be eligible, organizations must qualify as exempt organizations under Section 501(c)(3) of the Internal Revenue Code.LimitationsThe foundation normally does not fund requests for:General operating supportEndowmentsIndividualsPolitical activitiesLoansFundraising events including dinners, benefits and athletic events.Annual application period and deadlinesApplications are accepted year-round. Applications must be submitted by May 30 to be reviewed at the annual grant meeting that occurs each July.CommunicationsApplicants will receive an automated email confirming their submission. Grant decisions are generally communicated by July for applications received by the deadline.Required agreements and reportsExcept as otherwise specified when a grant is awarded, a progress report must be submitted within 6 months after receiving funds.","About the Foundation            The Anthony F. Bauer Trust Fund was established under the Last Will and Testament of Mr. Bauer out of his desire to provide support for those in need, particularly blind or handicapped persons. Anthony Bauer and his brother, Erwin, ran the family business, Bauer Farm, located in Madison, Connecticut. Thanks to Anthony’s generosity, many Connecticut communities, as well as the Hope School in Springfield, Illinois, will benefit for years to come."
,,,,,"Mission            The purpose of the foundation is to provide scholarships for deserving, gifted, and needy individuals without regard to race, creed, nationality, color, or sex in order that they may attend schools, colleges, universities, or other educational institutions in the state of Florida, or in order that they may engage in scientific or medical research in the state of Florida. In view of the Grantor's lifelong interest in music and the fine arts, it is the Grantor's request that the Trustee give particular attention to the requirements of the various cultural organizations of Sarasota County, including the West Coast Symphony Orchestra and its scholarship trust fund if the applicant is seriously interested in pursuing a musical career.            Annual application deadlines            August 1            Program areas            Arts, culture, and humanitiesEducationHealth            States served            Florida            Geographic limitations            Grants pertaining to arts, culture and humanities are limited to Sarasota County, Florida.            Trustees            Wells Fargo Bank, N.A.","The purpose of the Cordelia Lee Beattie Foundation is to provide scholarships for deserving, gifted, and needy individuals without regard to race, creed, nationality, color, or sex in order that they may attend schools, colleges, universities, or other educational institutions in the state of Florida, or in order that they may engage in scientific or medical research in the state of Florida. In view of the Grantor's lifelong interest in music and the fine arts, it is the Grantor's request that the foundation give particular attention to the requirements of the various cultural organizations of Sarasota County, including the West Coast Symphony Orchestra and its scholarship trust fund if the applicant is seriously interested in pursuing a musical career.            Grant requirements                          Organizations must qualify as exempt organizations under Section 501(c)(3) of the Internal Revenue Code.                        Limitiations            Organizations may not apply to both the Cordelia Lee Beattie Foundation and the Sarasota County Foundation within the same year.            Average giving            Average grant size: $5,000 to $10,000Average number of grants per year: 7Average total giving per year: $85,000            Annual application period and deadlines            Applications are accepted year-round. Applications must be submitted by August 1 to be reviewed at the annual grant meeting.            Communications            Applicants will receive an automated email confirming their submission. Grant decisions are generally communicated by year end for applications received by the deadline.            Required agreements and reports            Except as otherwise specified when a grant is awarded, a progress report must be submitted within 6 months after receiving funds.","About the Foundation            Cordelia Lee Beattie established this foundation in 1973 to honor her late husband, Edward William Beattie. A concert violinist, Mrs. Beattie retired to Sarasota, Florida and became a musician with the Florida West Coast Symphony. Cordelia Beattie's passion in music and fine arts prompted her to request that the foundation focus on organizations providing services for Sarasota County, Florida."
,,,,,"Gail McKnight Beckman created the Beckman Award to benefit teachers who have inspired their former students to make a significant contribution to society. The award is given to current or former academic faculty members who have inspired their former students to “create an organization which has demonstrably conferred a benefit on the community at large.” Alternatively, the academic faculty member must have inspired their former students to “establish on a lasting basis a concept, procedure, or movement of comparable benefit to the community at large.”Annual application deadlinesThe Nomination Application Package must be submitted via email, in one single PDF, by June 15 at 5:00 p.m. Eastern Time. See detailed instructions on the Grant Guidelines tab.Contact informationElizabeth Hurlock Beckman Award TrustWells Fargo Bank, N.A., TrusteePhilanthropic ServicesMAC G0141-041100 Terminus Building3280 Peachtree Road, N.E.Suite 400 Atlanta, GA 30305grantadministration@wellsfargo.comProgram areasEducationPublic/society benefitStates servedAllGeographic limitationsUnited States onlyTypes of supportAward recipients receive a one-time cash award to be used at their sole discretion (taxable income).Population servedOnly United States citizens or permanent resident aliens are eligible.TrusteesWells Fargo Bank, N.A.Committee membersDr. Nadine Kaslow, American Psychological AssociationMs. Millicent Bond, Bryn Mawr CollegeDr. Melissa Begg, Columbia UniversityDebra Faulk, Wells Fargo Bank, N.A.","Nomination application requirementsAwards will be made in the United States only. Only United States citizens or permanent resident aliens are eligible.Award recipients must be current or former teachers, professors, or instructors at a college, university, junior college, community college, or technical school located in the United States. Preference will be given to educators who teach or who taught in the fields of psychology, medicine, or law.Award recipients must have inspired a former student who attended his or her class to either:Create an organization that has demonstrably conferred a benefit on the community at large; orEstablish on a lasting basis a concept, procedure, or movement of comparable benefit to the community at large.Anyone may submit a Nomination Application Package.The trust's Advisory Committee reviews Nomination Application Packages and makes award decisions.Past recipients of this one-time award may not be nominated again.Nomination application packageThe Nomination Application Package must be submitted electronically via email to grantadministration@wellsfargo.com. The subject of the email should be ""Elizabeth Hurlock Beckman Award Nomination Application Package."" No faxed or mailed packages will be accepted.Please compile the Nomination Application Package materials in one single PDF file using the following naming convention: Nominee Last Name-Nominator Last Name, e.g. Smith-Jones.The Nomination Application Package must be assembled in one single PDF in the following order:Nomination Application Form. Each form must be typed, completed in its entirety, signed (no eSign please), and dated. No handwritten forms will be accepted.Optional cover letter. (Information contained in the body of the submission email message will not be shared with the review committee.)Former Student Personal Narrative Part I: A detailed explanation of how the nominee was the inspiration for the former student’s organization, concept, procedure, or movement.Former Student Personal Narrative Part II: Details how the organization, concept, procedure, or movement has benefited the community at large, how it established long-term change, and how it continues to make a positive impact. (2 page limit, typed, double spaced, signed)One (1) letter from an individual who supports, has benefited from, or who has been personally impacted by the former student's organization, concept, procedure, or movement. (1 page, typed, double spaced, signed – no eSign please)One (1) piece of supporting material about the former student's organization, concept, procedure, or movement. Picture files, links to website pages, brochures, fact sheets and other materials are permissible.Annual nomination deadlineThe Nomination Application Package must be submitted via email by the deadline of June 15 at 5:00 p.m. Eastern Time.","About the FoundationThe Elizabeth Hurlock Beckman Award Trust was established in 2008 under the Will of Gail McKnight Beckman. Wells Fargo Bank, N. A. serves as the trustee. Gail McKnight Beckman created the award in memory of her mother, Dr. Elizabeth Hurlock Beckman. Dr. Elizabeth Hurlock Beckman was an educator, a renowned author, and a pioneer in the field of Psychology. She was one of the first female Psychology professors at Columbia University and she taught at the University of Pennsylvania. Dr. Beckman authored nine books and textbooks about child and adolescent Psychology. Dr. Beckman was a champion of gender equality and an advocate for the advancement of women in academia.A trailblazer in her own right, Gail McKnight Beckman created the Beckman award to benefit teachers who have inspired their former students to make a difference in their communities. The award is given to current or former academic faculty members who have inspired their former students to “create an organization which has demonstrably conferred a benefit on the community at large.” Or, the academic faculty member must have inspired their former students to “establish on a lasting basis a concept, procedure, or movement of comparable benefit to the community at large.”Since 2010, the Elizabeth Hurlock Beckman Award Trust has distributed more than $3.5 million to 140 professors throughout the United States.Past recipients2023Jennifer Propp, Ph.D., MSW; William C. Turner, M.D., FACP; Judith A.M. Scully; Nancy Zucker, Ph.D.; Norman B. Schmidt, Ph.D.; Susan Wiener, M.A., MS; Marie A. Chisholm-Burns, PharmD, Ph.D., MPH, MBA; Steve G. Voguit, M.Ed.2022Betty Blythe, Ph.D.; Penelope Buschman, MS, RN, PMHCNS-BC, FAAN; Rocio Calvo, Ph.D.; Paul Dainer, MD, FACP; Hilda Hutcherson, MD, MS; Eduardo A. Lugo-Hernandez, Ph.D.; Sarah Paoletti, J.D.; Susan Jean Steiner, Ph.D.2021Yama Akbari, MD, Ph.D.; Stacey Borasky, Ed.D.; Linda Cushman, Ph.D.; Thomas Joiner, Ph.D.; Elaine Larson, Ph.D.; Jacqueline B. Mondros, D.S.W.; Pamela Hallock Muller, Ph.D.; Wallace Nichols, Ph.D.; John Weisz, Ph.D.2020Thomas F. Anders, Ph.D.; Edward Delgado-Romero, Ph.D.; Jean F. East, Ph.D.; Sandra Edmonds Crewe, Ph.D.; Matthew Barry Johnson, Ph.D.; Lucy Lang, J.D.; Sandra Murray Nettles, Ph.D.; Mandip Singh Sachdeva, Ph.D.; Sylvie Taylor, Ph.D.; Lynet Uttal, Ph.D.; Eric Youngstrom, Ph.D.2019Lucy Guerra, M.D., MPH; Guy Seymour, Ph.D.; Bernard Weiner, Ph.D.; Donald Eulert Ph.D.; Colleen  T. Fogarty, M.D., MSc, FAAFP; Gregory Mantsios, Ph.D.; Michael W. Otto, Ph.D.; James M. Spears, M.D.; Cheryl Bodiford McNeil, Ph.D.; Scott Stanley, Ph.D.2018Elyn Saks, J.D.; Charles H. Zeanah Jr., M.D.; David L. Blustein, Ph.D.; Ross E. Cheit, J.D. and Ph.D.; James Allan Gash, J.D.; Patricia Perez, Ph.D.; Anna Mae Diehl, M.D.2017Joy Banks, Ph.D; Puncky Paul Heppner, Ph.D.; David John Lee, Ph.D.; Karen Mary O'Brien, Ph.D.; Christopher C. Whalen, M.D.; Philip G. Zimbardo, Ph.D.; Harold D. Grotevant, Ph.D.; Howard Kassinove, Ph.D.2016Geraldine Downey, Ph.D; W. Daniel Hale, Ph.D.; Brandie Prichett Johnson, Ph.D. on behalf of Lonnie Duncan, Ph.D. (deceased); John Strauss, M.D.; William Hoyt, Ph.D.; Jan Ewing, Ph.D.2015David M. Becker, J.D.; Dawn D. Bennett-Alexander, J.D.; Melisa Cahnmann-Taylor, Ph.D.; Michael Joseph Chorney, Ph.D.; Daniel Wallace Close, Ph.D.; Marie Anita Failinger; LLM, Ralph David Fertig, ABD for Ph.D.; Elizabeth Gerber, Ph.D.; K. Daniel O’Leary, Ph.D; Florence Wagman Roisman, LL.B. 2014Hortensia Amaro, Ph. D.; Connie S. Chan, Ph. D.; Helen G. Durkin, Ph.D.; Randall W. Engle, Ph. D.; Lisa A. Goodman, Ph.D.; William Hellerstein, J.D.; Ann C. Hodges, J.D.; Stephen J. Morse, J.D., Ph.D.; Laurence Steinberg, Ph.D.; and David Weissbrodt, J.D.2013Florence L. Denmark, Ph.D.; Thomas G. Gutheil, M.D.; Suzanne B. Johnson, Ph.D.; Craig J. McClain, M.D.; Mark A. Meier, M.D.; Thomas W. Mitchell, J.D.; Velma M. Murry, Ph.D.; Clare Pastore, J.D.; David L. Penn, Ph.D.; and Joseph E. Trimble, Ph.D.2012Jerome Barron, J.D.; Ellen Beck, M.D.; Alberto Benitez, J.D.; Nancy Boyd-Franklin, Ph.D.; Laura Brown, Ph.D.; Tillman Farley, M.D.; Edna Foa, Ph.D.; Noreen Garman, Ph.D.; Richard Halgin, Ph.D.; Sharon Horne, Ph.D.; Nadine Kaslow, Ph.D.; Phyllis Katz, Ph.D.; Cato Laurencin, M.D., Ph.D.; Nancy Oriol, M.D.; James Plumb, M.D.; Nicole Prudent, M.D.; Joan Reede, M.D.; Dan Rohlf, J.D.; Nancy Russo, Ph.D.; Sandra Shullman, Ph.D.; Carolyn Tucker, Ph.D.; and Joan Williams, J.D.2011Etiony Aldarondo, Ph.D.; Jessica Henderson Daniel, Ph.D.; Michelle Fine, Ph.D.; Howard S. Friedman, Ph.D.; Elizabeth Louise Glisky, Ph.D.; Janet E. Helms, Ph.D.; Marsha Marie Linehan, Ph.D.; Raymond P. Lorion, Ph.D.; Susan McDaniel, Ph.D.; Layli (Phillips) Maparyan, Ph.D.; Alice Anne Medalia, Ph.D.; Frances V. Mervyn, Ph.D.; Bonnie Ruth Strickland, Ph.D.; Stanley Sue, Ph.D.; and Bruce Wampold, Ph.D.2010Carol S. Dweck, Ph.D.; Alan E. Kazdin, Ph.D.; Kathleen McDermott, Ph.D.; James O. Prochaska, Ph.D.; Judith Resnik, J.D.; and Claude M. Steele, Ph.D."
,,,,,"MissionTo support organizations that assist individuals in genuine need of financial assistance and for whom public welfare or assistance is either inadequate or unavailable.Annual application deadlinesApril 1Program areasHealthHuman servicesPublic/society benefitProgram limitationsNo grants are made to educational or religious organizations, with the exception of the Salvation Army.States servedIllinois, CaliforniaGeographic limitationsThe trust primarily supports organizations that operate in Illinois and California (particularly the Long Beach area).Types of supportGrants must provide direct financial help to persons in need. No support for administrative or other expenses.TrusteesWells Fargo Bank, N.A.","RequirementsOrganizations must qualify as exempt organizations under Section 501(c)(3) of the Internal Revenue Code.Funds must be used for direct help to persons in need and are restricted for such uses. No part of the funds may be used for administrative or other expenses.LimitationsThe trust does not fund requests to:IndividualsEducational organizationsReligious organizations, with the exception of the Salvation Army.Average givingAverage grant size: $5,000Average number of grants per year: 3Average total giving per year: $10,000Annual application period and deadlinesApplications are accepted year-round. Applications must be submitted by April 1 to be reviewed at the annual grant meeting.CommunicationsApplicants will receive an automated email confirming their submission.Required reportsPeriodic progress reports and final reports may be required for funded projects.","About the Foundation            Otto P. Berdach, a resident of Jacksonville, Illinois for many years, was a generous man who cared greatly about the welfare of his fellow man. In his Last Will & Testament, Mr. Berdach expressed his generosity through the creation of the Otto P. Berdach Trust. Mr. Berdach’s expressed desire was that the trust funds be used to assist individuals in genuine need of financial assistance and for whom public welfare or assistance is inadequate or unavailable. At the time of his death he resided in the county of Los Angeles, California."
,,,,,"MissionTo perpetuate Miss Bergen’s love of classical music and support of musical education by providing grants for musical performing arts and musical education.Annual application deadlinesJuly 1 for a September meetingProgram areasArts, culture, and humanitiesArts EducationStates servedNew JerseyNew YorkProgram limitationsMusic educationOrchestral Performances/ConcertsGeographic limitationsThere are no geographic limitations; however, the trust has a practice of primarily supporting organizations located in the New York / New Jersey Metropolitan area, to include: New York (Manhattan), Richmond (Staten Island), Kings (Brooklyn), Bronx, Queens (New York); Essex, Monmouth, Union, Middlesex, Morris Counties (New Jersey).TrusteesWells Fargo Bank, N.A.","The Frank and Lydia Bergen Foundation provides grants for classical performances and music education.RequirementsTo be eligible, organizations must qualify as exempt organizations under Section 501 (c) (3) of the Internal Revenue Code.Any organization that has received a grant three years in a row will not be eligible for a future grant until one year after the three year period.Grantmaking prioritiesPreference will be given to requests for the following:Aid worthy students of music to secure complete and adequate musical educationAid organizations in their efforts to present orchestral music to the public, provided that such organizations are operated exclusively for educational purposes. Preference will be given to organizations serving under-resourced communities and those increasing access to classical music for diverse audiences.Average givingAverage grant size: $10,000 to $50,000Average number of grants per year: 26Annual application deadlinesApplications are accepted year-round. Applications must be submitted by July 1 to be reviewed at the grant meeting in September.CommunicationsApplicants will receive an automated email confirming their submission.Required agreements and reportsPeriodic progress reports may be required for funded projects.","About the Foundation            The Frank and Lydia Bergen Foundation was created in 1983 pursuant to the wishes expressed by their only daughter, Charlotte V. Bergen (1898 – 1982) of Bernardsville, New Jersey. During her lifetime, Charlotte Bergen had the distinction of sharing the works of the masters by presenting and conducting over fifty concerts of fine, traditional music in Carnegie Hall, to which the music-loving public was invited free of charge. In 1981, Ms. Bergen donated her rare 1701 Servais Stradivarius Cello to the Smithsonian Institution, where it is maintained in the Hall of Musical Instruments. The foundation perpetuates Miss Bergen’s love of classical music and support of musical education by providing grants for musical performing arts and musical education."
